Country/region,Data Quality,HDI,Per Capita GDP,Region,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint
Mali,6,0.41,$741,Africa,14.9,0.5,0.7,0.2,0.1,0.0,0.1,1.5
Martinique,3B,Latin America,0.4,0.1,0.0,0.1,1.7,0.0,0.0,2.1
Mauritania,3B,0.50,$1.524,Africa,3.8,0.4,1.2,0.2,0.6,0.2,0.0,2.5
Mauritius,5,0.77,$8.811,Africa,1.2,0.5,0.2,0.2,2.0,0.6,0.0,3.5
Mexico,5,0.75,$10.124,Latin America,120.9,0.6,0.2,0.3,1.7,0.1,0.1,2.9
Moldova,5,0.66,$1.971,Other Europe,3.5,0.4,0.1,0.2,1.0,0.1,0.0,1.8
Mongolia,3B,0.71,$3.736,Asia-Pacific,2.8,0.3,3.5,0.2,2.1,0.0,0.1,6.1
Montenegro,5,0.80,$7.252,Other Europe,0.6,0.6,0.3,0.6,2.1,0.1,0.0,3.8
Montserrat,2,Latin America,0.0,7.8
Morocco,5,0.62,$3.149,Africa,32.5,0.6,0.2,0.1,0.7,0.1,0.0,1.7
Mozambique,5,0.41,$539,Africa,25.2,0.3,0.0,0.3,0.2,0.0,0.1,0.9
Myanmar,6,0.53,$1.118,Asia-Pacific,52.8,0.8,0.0,0.3,0.1,0.1,0.1,1.4
Namibia,3L,0.62,$5.881,Africa,2.3,0.3,0.2,0.2,1.0,0.7,0.0,2.5
Nauru,2,Asia-Pacific,0.0,2.9
Nepal,6,0.54,$700,Asia-Pacific,27.5,0.4,0.1,0.2,0.2,0.0,0.1,1.0
Netherlands,6,0.92,$53.590,EU-27,16.7,0.8,0.6,0.4,3.2,0.2,0.2,5.3
New Caledonia,3L,Asia-Pacific,0.3,0.7,0.6,0.2,1.8,0.3,0.0,3.6
New Zealand,3B,0.91,$37.488,Asia-Pacific,4.5,0.6,0.2,1.1,2.8,0.7,0.1,5.6
Nicaragua,5,0.63,$1.627,Latin America,6.0,0.3,0.1,0.4,0.5,0.0,0.1,1.4
Niger,5,0.34,$411,Africa,17.2,0.7,0.5,0.3,0.1,0.0,0.0,1.6
Nigeria,5,0.50,$2.612,Africa,168.8,0.5,0.1,0.2,0.2,0.1,0.1,1.2
Norway,4,0.94,$100.172,Other Europe,5.0,5.0
Oman,3B,0.79,$22.623,Middle East/Central Asia,3.3,0.6,0.4,0.2,5.8,0.4,0.2,7.5
Pakistan,6,0.53,$1.219,Asia-Pacific,179.2,0.3,0.0,0.1,0.4,0.0,0.0,0.8
Panama,3B,0.77,$8.411,Latin America,3.8,0.4,0.4,0.2,1.4,0.4,0.0,2.8
Papua New Guinea,3B,0.50,$1.871,Asia-Pacific,7.2,0.3,0.1,0.4,0.4,0.7,0.1,1.9
Paraguay,3B,0.67,$3.557,Latin America,6.7,1.1,1.1,0.8,1.0,0.0,0.1,4.2
Peru,6,0.73,$5.685,Latin America,30.0,0.5,0.5,0.2,0.7,0.3,0.1,2.3
Philippines,5,0.66,$2.379,Asia-Pacific,96.7,0.4,0.0,0.1,0.3,0.2,0.1,1.1
Poland,6,0.84,$13.770,EU-27,38.2,0.8,0.0,0.8,2.6,0.1,0.1,4.4
Portugal,5,0.83,$23.217,EU-27,10.6,1.0,0.3,0.1,2.2,0.3,0.1,3.9
Qatar,3L,0.85,$99.432,Middle East/Central Asia,2.1,0.6,0.3,0.2,9.6,0.2,0.1,10.8
Réunion,5,Africa,0.9,0.1,0.0,0.2,3.3,0.1,0.0,3.7
Romania,5,0.79,$9.214,EU-27,21.8,0.7,0.1,0.3,1.5,0.0,0.1,2.7
Russian Federation,6,0.79,$13.320,Other Europe,143.2,0.8,0.2,0.7,3.9,0.2,0.0,5.7
Rwanda,5,0.48,$628,Africa,11.5,0.4,0.1,0.3,0.1,0.0,0.1,0.9
Saint Kitts and Nevis,3L,0.74,$12.953,Latin America,0.1,0.5,0.2,0.1,3.3,0.8,0.0,4.9
Saint Lucia,3B,0.73,$7.737,Latin America,0.2,0.4,0.1,0.2,1.6,0.2,0.0,2.5
Saint Vincent and Grenadines,2,0.72,$6.171,Latin America,0.1,3.1
Samoa,3B,0.70,$4.067,Asia-Pacific,0.2,1.0,0.2,0.3,1.0,0.4,0.0,2.8
