Temperature (C);"	Year"; Month; Country; ISO3; ISO2
30,237751;2009;7;IRN;;
29,344303;2009;8;IRN;;
24,768518;2009;9;IRN;;
18,937607;2009;10;IRN;;
12,586467;2009;11;IRN;;
7,8626776;2009;12;IRN;;
9,1636715;2010;1;IRN;;
9,708729;2010;2;IRN;;
15,475352;2010;3;IRN;;
19,50873;2010;4;IRN;;
24,743132;2010;5;IRN;;
29,546982;2010;6;IRN;;
30,05597;2010;7;IRN;;
29,30719;2010;8;IRN;;
25,274326;2010;9;IRN;;
18,701797;2010;10;IRN;;
13,222208;2010;11;IRN;;
8,347882;2010;12;IRN;;
7,167137;2011;1;IRN;;
8,03145;2011;2;IRN;;
13,080487;2011;3;IRN;;
15,860975;2011;4;IRN;;
24,537355;2011;5;IRN;;
28,662771;2011;6;IRN;;
30,74403;2011;7;IRN;;
29,818485;2011;8;IRN;;
25,610012;2011;9;IRN;;
19,02439;2011;10;IRN;;
10,964056;2011;11;IRN;;
7,0811296;2011;12;IRN;;
5,845828;2012;1;IRN;;
6,172272;2012;2;IRN;;
11,467779;2012;3;IRN;;
19,253017;2012;4;IRN;;
24,913992;2012;5;IRN;;
28,498587;2012;6;IRN;;
30,636072;2012;7;IRN;;
29,409756;2012;8;IRN;;
25,51733;2012;9;IRN;;
20,030937;2012;10;IRN;;
13,598845;2012;11;IRN;;
8,033247;2012;12;IRN;;
5,3235292;1990;1;NLD;;
7,5088234;1990;2;NLD;;
8,426471;1990;3;NLD;;
8,464705;1990;4;NLD;;
13,885294;1990;5;NLD;;
14,847058;1990;6;NLD;;
16,826471;1990;7;NLD;;
18,732353;1990;8;NLD;;
13,047058;1990;9;NLD;;
11,967647;1990;10;NLD;;
6,185294;1990;11;NLD;;
4,1264706;1990;12;NLD;;
3,2352939;1991;1;NLD;;
-0,36764705;1991;2;NLD;;
8,758823;1991;3;NLD;;
8,247059;1991;4;NLD;;
9,947059;1991;5;NLD;;
12,494118;1991;6;NLD;;
18,852942;1991;7;NLD;;
18,22647;1991;8;NLD;;
15,252942;1991;9;NLD;;
10,138235;1991;10;NLD;;
5,6205883;1991;11;NLD;;
4,044118;1991;12;NLD;;
2,8882353;1992;1;NLD;;
4,9176474;1992;2;NLD;;
6,820588;1992;3;NLD;;
8,438235;1992;4;NLD;;
15,144117;1992;5;NLD;;
16,852942;1992;6;NLD;;
18,017647;1992;7;NLD;;
17,879412;1992;8;NLD;;
14,3294115;1992;9;NLD;;
7,847059;1992;10;NLD;;
7,729412;1992;11;NLD;;
4,0264707;1992;12;NLD;;
4,835294;1993;1;NLD;;
2,1705883;1993;2;NLD;;
5,8882356;1993;3;NLD;;
10,820588;1993;4;NLD;;
14,1;1993;5;NLD;;
15,585294;1993;6;NLD;;
15,958824;1993;7;NLD;;
15,347058;1993;8;NLD;;
12,935293;1993;9;NLD;;
8,941176;1993;10;NLD;;
2,5;1993;11;NLD;;
5,102941;1993;12;NLD;;
4,9117646;1994;1;NLD;;
1,5705882;1994;2;NLD;;
7,1911764;1994;3;NLD;;
8,152941;1994;4;NLD;;
12,144117;1994;5;NLD;;
14,955882;1994;6;NLD;;
20,832354;1994;7;NLD;;
17,647058;1994;8;NLD;;
13,429411;1994;9;NLD;;
9,347059;1994;10;NLD;;
9,605883;1994;11;NLD;;
5,6941175;1994;12;NLD;;
3,4882355;1995;1;NLD;;
